State,City,Alias,City_ID,ZipCode
MT,Bozeman,Hyalite Canyon,5641727,
MT,Big Sky,Gallatin Canyon,5640193,
MT,Helena,Whiskey Gulch,5656882,
MT,Missoula,Missoula vicinity,5666639,
MT,Kalispell,Northwest Montana,5660340,
ID,Idaho Falls,The Fins,5596475,
ID,Twin Falls,Twin Falls vicinity,5610810,
ID,Burley,City of Rocks,5587385,
ID,Boise,Boise vicinity,5586437,
ID,Stanley,Sawtooth Range,5609286,
ID,Grangeville,Riggins,5594474,
ID,Couer D'Alene,Northern Panhandle,5589173,
OR,Bend,Smith Rocks,5713587,
OR,Eugene,Wilamette Valley,5725846,
OR,Portland,Portland vicinity,5746545,
OR,Hood River,Mt. Hood vicinity,5731777,
WA,Leavenworth,Leavenworth,5800683,
WA,Spokane,Spokane vicinity,5811696,
WA,Omak,Vantage,5805734,
WA,Bellingham,Bellingham vicinity,5786899,
WA,North Bend,Little Si,5804915,
WA,Gold Bar,Index/Gold Bar,5795678,
WA,Rainier,Mt. Rainier vicinity,5747402,
WA,Yakima,Yakima vicinity,5816605,
WA,Pullman,Southeastern Washington,5807540,
CA,Mount Shasta,Mt. Shasta vicinity,5568295,
CA,Arcata,Humboldt County,5558953,
CA,Truckee,North Lake Tahoe,5403676,
CA,South Lake Tahoe,South Lake Tahoe,5397664,
CA,Oakland,Bay Area Climbing,5378538,
CA,Sonora,Sonora Pass,5397165,
CA,Yosemite Valley,Yosemite National Park,7262586,
CA,Bridgeport,Tuolumne Meadows,5330736,
CA,Mammoth Lakes,Mammoth Lakes vicinity,5370006,
CA,Bishop,Bishop vicinity,5328808,
CA,Visalia,The Needles,5406567,
CA,San Luis Obispo,Central Coast,5392323,
CA,Malibu,Malibu Creek,5369906,
CA,Simi Valley,Stoney Point,5396003,
CA,Riverside,Riverside Quarry,5387877,
CA,Big Bear Lake,Big Bear vicinity,5328163,
CA,Hemet,Tahquitz/Suicide Rock,5356277,
CA,Twentynine Palms,Joshua Tree National Park,5404198,
CA,San Diego,San Diego vicinity,5391811,
AK,Juneau,Juneau vicinity,5554072,
AK,Seward,Kenai Peninsula,5873776,
AK,Palmer,Hatcher Pass,5871146,
AK,Denali,Denali National Park,5860541,
AK,Fairbanks,Fairbanks vicinity,5861897,
AK,Anchorage,Seward Highway,5879400,
